Time,X,Y,Speed,Throttle,Brake,Gear,RPM,Lap
0,100,200,45,0.2,0,3,4500,1
0.05,102,201,52,0.5,0,3,5200,1
0.1,105,203,68,0.9,0,4,6100,1
0.15,110,206,85,1,0,4,7200,1
0.2,118,210,102,1,0,5,7800,1
0.25,128,215,115,1,0,5,8200,1
0.3,140,222,128,1,0,6,8500,1
0.35,155,230,135,0.8,0.1,6,8600,1
0.4,172,240,142,0.6,0.3,6,8700,1
0.45,190,252,138,0.4,0.5,5,8400,1
0.5,208,265,125,0.2,0.8,5,7600,1
0,100,200,48,0.3,0,3,4600,2
0.05,103,202,55,0.6,0,3,5300,2
0.1,107,205,72,0.95,0,4,6200,2
0.15,112,208,88,1,0,4,7300,2
0.2,120,212,105,1,0,5,7900,2
0.25,130,217,118,1,0,5,8300,2
0.3,143,224,130,1,0,6,8550,2
0.35,158,232,137,0.85,0.05,6,8650,2
0.4,175,242,144,0.65,0.25,6,8750,2
0.45,193,254,140,0.45,0.45,5,8450,2
0.5,211,267,127,0.25,0.75,5,7650,2
